date,symbol,open_price,adj_close,volume,FED_RATE,INFLATION_CPI,CONSUMER_CONFIDENCE,SP500,VIX,US10Y,stock_return
2020-09-01,AAPL,128.892336,130.270966,151948100,0.09,259.997,80.4,3526.65,26.12,0.68,0.0398326074
2020-09-01,NVDA,13.438228,13.778172,511316000,0.09,259.997,80.4,3526.65,26.12,0.68,0.0336935298
2020-09-02,NVDA,14.658184,14.302042,874012000,0.09,259.997,80.4,3580.84,26.57,0.66,0.0380217699
2020-09-02,GOOGL,82.775069,85.225555,49522000,0.09,259.997,80.4,3580.84,26.57,0.66,0.0376476769
2020-09-02,AAPL,133.581648,127.571976,200119000,0.09,259.997,80.4,3580.84,26.57,0.66,-0.0207182764
2020-09-03,AAPL,123.212781,117.358444,257599600,0.09,259.997,80.4,3455.06,33.6,0.63,-0.0800609337
2020-09-03,GOOGL,84.338763,80.864517,63726000,0.09,259.997,80.4,3455.06,33.6,0.63,-0.051170546
2020-09-03,NVDA,13.785898,12.975168,945128000,0.09,259.997,80.4,3455.06,33.6,0.63,-0.0927751281
2020-09-04,NVDA,12.744134,12.583385,1463684000,0.09,259.997,80.4,3426.96,30.75,0.72,-0.0301948851
2020-09-04,GOOGL,79.846705,78.467628,55850000,0.09,259.997,80.4,3426.96,30.75,0.72,-0.0296407969
2020-09-04,AAPL,116.57204,117.436111,332607200,0.09,259.997,80.4,3426.96,30.75,0.72,0.000661795
2020-09-08,AAPL,110.630334,109.533257,231366600,0.09,259.997,80.4,3331.84,31.46,0.69,-0.0672949302
2020-09-08,GOOGL,75.678194,75.608719,54032000,0.09,259.997,80.4,3331.84,31.46,0.69,-0.0364342553
2020-09-08,NVDA,11.698138,11.876085,795728000,0.09,259.997,80.4,3331.84,31.46,0.69,-0.0562089819
2020-09-09,NVDA,12.361574,12.675598,736200000,0.09,259.997,80.4,3398.96,28.81,0.71,0.0673212464
2020-09-09,GOOGL,76.864227,76.781357,39242000,0.09,259.997,80.4,3398.96,28.81,0.71,0.0155092952
2020-09-09,AAPL,113.843896,113.902145,176940500,0.09,259.997,80.4,3398.96,28.81,0.71,0.0398864143
2020-09-10,AAPL,116.8536,110.183739,182274400,0.09,259.997,80.4,3339.19,29.71,0.68,-0.0326456246
2020-09-10,GOOGL,76.927758,75.730301,33024000,0.09,259.997,80.4,3339.19,29.71,0.68,-0.0136889468
2020-09-10,NVDA,12.949001,12.273601,698684000,0.09,259.997,80.4,3339.19,29.71,0.68,-0.0317142877
2020-09-11,NVDA,12.446808,12.126802,636928000,0.09,259.997,80.4,3340.97,26.87,0.67,-0.0119604783
2020-09-11,GOOGL,75.834519,75.219666,30706000,0.09,259.997,80.4,3340.97,26.87,0.67,-0.0067428146
2020-09-11,AAPL,111.232289,108.73716,180860300,0.09,259.997,80.4,3340.97,26.87,0.67,-0.0131287883
2020-09-14,AAPL,111.377875,111.999229,140150100,0.09,259.997,80.4,3383.54,25.85,0.68,0.0299995853
2020-09-14,GOOGL,76.008198,74.875755,42660000,0.09,259.997,80.4,3383.54,25.85,0.68,-0.0045720785
2020-09-14,NVDA,13.040464,12.83236,1201744000,0.09,259.997,80.4,3383.54,25.85,0.68,0.0581816869
2020-09-15,NVDA,13.238847,12.950743,727556000,0.09,259.997,80.4,3401.2,25.59,0.68,0.0092253063
2020-09-15,GOOGL,75.821612,76.180397,23042000,0.09,259.997,80.4,3401.2,25.59,0.68,0.0174240877
2020-09-15,AAPL,114.882724,112.174004,184642000,0.09,259.997,80.4,3401.2,25.59,0.68,0.0015604944
2020-09-16,AAPL,111.873037,108.863342,154679000,0.09,259.997,80.4,3385.49,26.04,0.69,-0.0295136236
2020-09-16,GOOGL,76.545643,75.037537,22128000,0.09,259.997,80.4,3385.49,26.04,0.69,-0.0150020275
2020-09-16,NVDA,12.917096,12.475718,556384000,0.09,259.997,80.4,3385.49,26.04,0.69,-0.0366793035
2020-09-17,NVDA,12.094654,12.424878,792512000,0.09,259.997,80.4,3357.01,26.46,0.69,-0.0040751463
2020-09-17,GOOGL,73.733387,73.794426,40008000,0.09,259.997,80.4,3357.01,26.46,0.69,-0.0165665174
2020-09-17,AAPL,106.523548,107.125481,178011000,0.09,259.997,80.4,3357.01,26.46,0.69,-0.015963699
2020-09-18,AAPL,107.183756,103.727463,287104900,0.09,259.997,80.4,3319.47,25.83,0.7,-0.0317199779
2020-09-18,GOOGL,73.856951,72.010399,63056000,0.09,259.997,80.4,3319.47,25.83,0.7,-0.0241756349
2020-09-18,NVDA,12.554726,12.15148,698460000,0.09,259.997,80.4,3319.47,25.83,0.7,-0.0220041112
2020-09-21,NVDA,11.888047,12.478461,721044000,0.09,259.997,80.4,3281.06,27.78,0.68,0.0269087841
2020-09-21,GOOGL,71.044214,70.970772,56908000,0.09,259.997,80.4,3281.06,27.78,0.68,-0.0144371798
2020-09-21,AAPL,101.494471,106.873077,195713800,0.09,259.997,80.4,3281.06,27.78,0.68,0.0303257647
2020-09-22,AAPL,109.397331,108.552673,183055400,0.09,259.997,80.4,3315.57,26.86,0.68,0.0157158004
2020-09-22,GOOGL,71.97219,72.443626,33950000,0.09,259.997,80.4,3315.57,26.86,0.68,0.0207529745
2020-09-22,NVDA,12.536032,12.598587,646452000,0.09,259.997,80.4,3315.57,26.86,0.68,0.0096266493
2020-09-23,NVDA,12.53653,12.08618,647012000,0.09,259.997,80.4,3236.92,28.58,0.68,-0.0406718072
2020-09-23,GOOGL,72.060032,69.94104,37726000,0.09,259.997,80.4,3236.92,28.58,0.68,-0.0345452939
2020-09-23,AAPL,108.368224,103.999321,150718700,0.09,259.997,80.4,3236.92,28.58,0.68,-0.0419460177
2020-09-24,AAPL,102.106105,105.067253,167743300,0.09,259.997,80.4,3246.59,28.51,0.67,0.0102686452
2020-09-24,GOOGL,69.608061,70.609489,34552000,0.09,259.997,80.4,3246.59,28.51,0.67,0.0095573272
2020-09-24,NVDA,12.034841,12.309735,731240000,0.09,259.997,80.4,3246.59,28.51,0.67,0.018496793
2020-09-25,NVDA,12.408928,12.833857,588016000,0.09,259.997,80.4,3298.46,26.38,0.66,0.0425777868
2020-09-25,GOOGL,70.718174,71.413422,30326000,0.09,259.997,80.4,3298.46,26.38,0.66,0.0113856111
2020-09-25,AAPL,105.271157,109.008995,149981400,0.09,259.997,80.4,3298.46,26.38,0.66,0.03751637
2020-09-28,AAPL,111.659455,111.610909,137672400,0.09,259.997,80.4,3351.6,26.19,0.67,0.0238687959
2020-09-28,GOOGL,73.047568,72.386063,30784000,0.09,259.997,80.4,3351.6,26.19,0.67,0.0136198626
2020-09-28,NVDA,12.999837,12.994603,573808000,0.09,259.997,80.4,3351.6,26.19,0.67,0.0125251964
2020-09-29,NVDA,12.897409,13.184766,621460000,0.09,259.997,80.4,3335.47,26.27,0.66,0.014633972
2020-09-29,GOOGL,72.646604,72.751312,31816000,0.09,259.997,80.4,3335.47,26.27,0.66,0.0050458558
2020-09-29,AAPL,111.212841,110.766235,99382200,0.09,259.997,80.4,3335.47,26.27,0.66,-0.0075680161
2020-09-30,AAPL,110.475001,112.43615,142675200,0.09,259.997,80.4,3363.0,26.37,0.69,0.0150760224
2020-09-30,GOOGL,72.499207,72.730461,40924000,0.09,259.997,80.4,3363.0,26.37,0.69,-0.0002866084
2020-09-30,NVDA,13.116728,13.488572,689184000,0.09,259.997,80.4,3363.0,26.37,0.69,0.0230422223
2020-10-01,NVDA,13.715366,13.57231,525004000,0.09,260.319,81.8,3380.8,26.7,0.68,0.0062080943
2020-10-01,GOOGL,73.626704,73.837112,32884000,0.09,260.319,81.8,3380.8,26.7,0.68,0.0152157884
2020-10-01,AAPL,114.212832,113.387596,116120400,0.09,260.319,81.8,3380.8,26.7,0.68,0.0084621053
2020-10-02,AAPL,109.601215,109.727425,144712000,0.09,260.319,81.8,3348.44,27.63,0.7,-0.0322801756
2020-10-02,GOOGL,72.434204,72.234215,31222000,0.09,260.319,81.8,3348.44,27.63,0.7,-0.0217085635
2020-10-02,NVDA,13.184018,13.021772,552496000,0.09,260.319,81.8,3348.44,27.63,0.7,-0.0405633267
2020-10-05,NVDA,13.194984,13.600224,479820000,0.09,260.319,81.8,3408.63,27.96,0.78,0.0444219184
2020-10-05,GOOGL,72.584074,73.58551,21602000,0.09,260.319,81.8,3408.63,27.96,0.78,0.0187071386
2020-10-05,AAPL,110.591491,113.106033,106243800,0.09,260.319,81.8,3408.63,27.96,0.78,0.0307909232
2020-10-06,AAPL,112.329331,109.863335,161498200,0.09,260.319,81.8,3360.95,29.48,0.76,-0.0286695464
2020-10-06,GOOGL,73.221763,72.006943,26096000,0.09,260.319,81.8,3360.95,29.48,0.76,-0.0214521514
2020-10-06,NVDA,13.787145,13.693934,784420000,0.09,260.319,81.8,3360.95,29.48,0.76,0.0068903234
2020-10-07,NVDA,13.956367,13.920728,418084000,0.09,260.319,81.8,3419.45,28.06,0.81,0.0165615872
2020-10-07,GOOGL,72.418332,72.409897,36108000,0.09,260.319,81.8,3419.45,28.06,0.81,0.0055960451
2020-10-07,AAPL,111.280796,111.727394,96849000,0.09,260.319,81.8,3419.45,28.06,0.81,0.0169670751
2020-10-08,AAPL,112.86333,111.620621,83477200,0.09,260.319,81.8,3446.83,26.36,0.78,-0.0009556598
2020-10-08,GOOGL,72.723012,73.615273,26076000,0.09,260.319,81.8,3446.83,26.36,0.78,0.0166465597
2020-10-08,NVDA,14.031383,13.795865,378900000,0.09,260.319,81.8,3446.83,26.36,0.78,-0.0089695505
2020-10-09,NVDA,13.724339,13.720101,346892000,0.09,260.319,81.8,3477.13,25.0,0.79,-0.0054917689
2020-10-09,GOOGL,74.083255,74.956161,32966000,0.09,260.319,81.8,3477.13,25.0,0.79,0.0182148205
2020-10-09,AAPL,111.921572,113.56234,100506900,0.09,260.319,81.8,3477.13,25.0,0.79,0.017395702
2020-10-12,AAPL,116.562319,120.775887,240226800,0.09,260.319,81.8,3534.22,25.07,0.79,0.0635205894
